SYSTEM,CET,BENCH0,BENCH1,BENCH2,BENCH3,BENCH4,BENCH5
SPR,0,1429710,66363,6379357,769488,1039067,5587363
TGL,0,1397108,103163,5410931,741566,940339,5162347
SPR,0,1429996,67515,6323164,837917,1057786,5636583
TGL,0,1432185,64057,5034849,736539,962323,5224934
SPR,0,1430038,66911,6385087,777265,1081129,5558497
TGL,0,1392839,66355,4636866,776446,914652,5298198
SPR,0,1430513,67460,6332439,792410,1066346,5556929
TGL,0,1460856,87883,4992466,762208,993039,5215325
SPR,0,1435952,65224,6255396,770249,1000524,5542925
TGL,0,1390294,66058,5017463,724811,928450,5274225
SPR,0,1439519,78489,5823293,775844,1012614,5570878
